year,month,day,hour,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT,open_AMZN,high_AMZN,low_AMZN,close_AMZN,volume_AMZN,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,volume_GOOGL,open_META,high_META,low_META,close_META,volume_META,open_BRK.B,high_BRK.B,low_BRK.B,close_BRK.B,volume_BRK.B,open_JNJ,high_JNJ,low_JNJ,close_JNJ,volume_JNJ,open_V,high_V,low_V,close_V,volume_V,open_PG,high_PG,low_PG,close_PG,volume_PG,open_JPM,high_JPM,low_JPM,close_JPM,volume_JPM,open_TSLA,high_TSLA,low_TSLA,close_TSLA,volume_TSLA,open_NVDA,high_NVDA,low_NVDA,close_NVDA,volume_NVDA,open_WMT,high_WMT,low_WMT,close_WMT,volume_WMT,open_DIS,high_DIS,low_DIS,close_DIS,volume_DIS,open_HD,high_HD,low_HD,close_HD,volume_HD,open_VZ,high_VZ,low_VZ,close_VZ,volume_VZ,open_KO,high_KO,low_KO,close_KO,volume_KO,open_PEP,high_PEP,low_PEP,close_PEP,volume_PEP,open_INTC,high_INTC,low_INTC,close_INTC,volume_INTC,open_PFE,high_PFE,low_PFE,close_PFE,volume_PFE
2022.0,3.0,31.0,13.0,176.60789,177.24001,174.39999,174.67999,36369778.0,311.79001,312.80829,308.51001,308.95001,9689522.0,165.23,166.049,163.037,163.2105,43745.0,140.85,141.30699,139.051,139.0675,28406.0,225.07001,226.14999,222.31,222.36,7344303.0,357.37,358.20999,352.88,352.91,1915895.0,179.84,180.00999,177.0,177.23,3150659.0,224.08,225.92,221.53,221.77,3005174.0,153.53999,153.95,152.78999,152.8,1904053.0,137.85001,138.30009,136.25999,136.32001,5793095.0,363.43486,365.03833,359.00334,359.19999,1522644.0,276.67999,279.87,272.85999,272.85999,15231373.0,49.95667,50.07167,49.64,49.64,872172.0,138.87,139.14,137.16,137.16,3898028.0,300.69,302.23279,298.89001,299.32999,3171386.0,51.1337,51.21,50.94,50.94,11999526.0,62.49,62.64,62.0,62.0,5140445.0,168.78,168.95,167.37,167.38,1722873.0,50.0,50.09,49.52,49.52,13477572.0,52.335,52.4,51.76,51.77,7605438.0
2022.0,4.0,1.0,9.0,174.03,174.88,171.94,172.33501,43036125.0,309.37,310.13,305.54001,306.56,14910234.0,164.1495,165.827,162.37849,163.1825,85497.0,139.5,140.47075,138.3205,139.7075,26893.0,224.55,227.28,222.7,223.2299,11697059.0,353.64999,354.5824,349.01999,349.245,2011067.0,177.05,177.27,175.60001,176.95,2931177.0,223.08,226.38,222.23,225.2767,3266710.0,153.52,153.66,152.06,153.31,2022119.0,137.39999,137.41,133.8,134.39999,8855471.0,360.38334,364.91667,355.58337,359.17668,3894680.0,273.75,274.95999,262.67001,263.31009,32501813.0,49.88667,50.10333,49.61324,49.9601,1095601.0,137.34,138.10001,135.53,136.64,5705435.0,300.5,303.37,298.89999,300.91,2903945.0,51.02,51.13,50.815,51.085,11731965.0,62.33,62.64,62.085,62.27,5609537.0,167.89,168.64999,167.37,167.96001,1249072.0,49.83,49.9,47.325,47.425,27445243.0,52.12,52.16,51.1,51.245,9298051.0
2022.0,4.0,1.0,13.0,172.33501,174.645,172.2,174.25999,24843413.0,306.54999,309.62,305.85101,309.42001,8348304.0,163.1,164.51899,162.426,163.6025,46338.0,139.775,140.3,138.8425,140.127,18780.0,223.21001,225.14999,222.98,224.87,6574188.0,349.245,352.20999,349.245,351.85001,1513930.0,176.97501,178.42999,176.91,178.2,2203514.0,225.28,226.61,224.99001,226.36,2159506.0,153.3,155.46001,153.2,155.06,1916598.0,134.395,135.86,134.32001,135.3,4666726.0,359.00334,361.8833,357.83333,361.52002,1718917.0,263.26001,267.25,262.95001,267.14999,16542576.0,49.96333,50.42333,49.94,50.33666,946898.0,136.63,137.5,136.12,137.02,3034926.0,300.85999,303.26001,300.85501,301.89001,1810303.0,51.0821,52.185,51.065,52.11,15539179.0,62.265,62.95,62.24,62.86,4593849.0,167.97,169.92999,167.92,169.75999,1076439.0,47.425,48.15,47.4,48.12,14370530.0,51.245,51.595,51.23,51.56,6681798.0
2022.0,4.0,4.0,9.0,174.57001,178.21001,174.44,177.2296,44591090.0,310.09,314.35001,309.70999,313.35001,12354933.0,164.125,167.3505,163.2585,167.0755,69851.0,140.3585,143.712,140.3105,143.0795,31942.0,225.98,234.10001,225.86,233.4501,16382248.0,352.0,352.23499,344.31,345.4664,2637009.0,178.19,178.19,175.52,176.58,3095712.0,225.75999,229.24001,224.96001,227.66,4873160.0,153.81,154.35001,151.25999,153.10001,3019427.0,134.12,136.94,132.89,135.50999,9439011.0,363.12667,381.46334,357.66667,381.39742,6157414.0,267.28,275.57999,266.13,272.50589,23780881.0,50.30333,51.06667,50.03334,50.44,1578047.0,136.97,139.261,136.89,138.575,4582759.0,301.48999,305.642,299.57001,304.04999,2513948.0,52.02,52.35,51.635,52.16,15553934.0,62.6,62.785,61.72,62.465,5330873.0,169.11,169.35001,167.45,168.83,1465263.0,48.17,49.14,47.915,48.965,10913284.0,51.78,51.87,50.37,50.9355,10252680.0
2022.0,4.0,4.0,13.0,177.23,178.49001,177.02,178.465,24058006.0,313.34,315.10999,313.11499,315.07001,6616740.0,167.101,168.39449,166.45,168.36899,42947.0,143.0655,143.14449,142.229,142.9785,22307.0,233.47501,234.351,231.92,233.92999,8089721.0,345.51001,346.39001,344.63,345.32999,1478653.0,176.58,176.77,176.03999,176.44,2125131.0,227.7,228.03999,227.06,227.7,1544884.0,153.07001,154.12,153.02,154.10001,1498321.0,135.50999,136.35001,135.47099,136.00999,4740964.0,381.35278,383.30334,378.78438,381.84668,2588718.0,272.53,274.54999,270.79999,273.71329,12098223.0,50.44,50.45333,50.14333,50.36,783537.0,138.54041,138.73,137.78999,138.58,2512729.0,304.04999,306.48001,304.03,305.56,1379720.0,52.16,52.5,52.125,52.48,7892157.0,62.465,62.56,62.325,62.54,3307938.0,168.841,169.39,168.62,169.34,974329.0,48.965,49.23,48.86,49.215,6440148.0,50.93,51.0,50.735,50.94,4996700.0
2022.0,4.0,5.0,9.0,177.5,178.28999,175.0,175.642,43093719.0,313.26999,314.86499,310.56,312.42001,11574100.0,167.7415,168.1105,164.5,165.14,75582.0,142.86899,142.9905,140.5475,141.39825,28671.0,234.08,236.86,231.13,234.47,18198366.0,345.76999,349.44,344.97,348.47989,2493494.0,176.47,179.64999,176.28999,179.065,3968552.0,226.83,228.99001,226.164,227.1048,2252939.0,153.61,157.37,153.53999,155.71001,3762545.0,134.07001,135.39999,133.58,134.10001,6416923.0,378.76668,384.18998,363.36332,367.64502,6470910.0,272.54001,273.19,260.51001,262.38,25501070.0,50.29333,51.11,50.29333,50.83333,1057683.0,137.74001,139.2,135.185,135.97,4919952.0,306.26001,309.10001,302.20999,307.17499,2711841.0,52.2,52.9,52.13,52.815,11497734.0,62.4,63.235,62.37,62.94,8528992.0,168.32001,171.38,168.32001,170.66,1801858.0,48.83,48.97,48.21,48.64,11547322.0,50.81,52.15,50.75,51.4254,11605735.0
2022.0,4.0,5.0,13.0,175.64909,175.75,174.41499,175.03999,20032364.0,312.42999,312.54999,309.87,311.01001,7166719.0,165.173,165.173,163.266,164.055,43165.0,141.412,141.5,140.3825,140.591,15930.0,234.48,234.6609,231.02,231.86,8843223.0,348.39999,348.39999,344.28,345.04999,1159749.0,179.07001,179.12,177.42,177.64,1909402.0,227.10001,227.12,225.31,226.3,1458380.0,155.71001,155.7625,154.2901,154.67999,2781453.0,134.09,134.13,133.00999,133.38,3495612.0,367.45422,369.58667,362.43335,363.72001,2083250.0,262.35999,262.73001,258.20001,259.32001,15560736.0,50.83087,50.83087,50.43,50.49667,608277.0,135.97,135.97,135.13,135.64,2896055.0,307.10999,307.20001,303.73999,304.97,1163170.0,52.82,52.85,52.56,52.78,9161064.0,62.95,62.98,62.38,62.47,4991694.0,170.67999,170.69,169.28,169.5,1061663.0,48.64,48.65,48.02,48.145,9035438.0,51.43,51.44,51.09,51.29,6231545.0
2022.0,4.0,6.0,9.0,172.36,173.24001,170.13,171.71001,46744411.0,305.19,307.0,297.14001,298.25,19498990.0,161.6505,162.2,158.15,159.10752,106610.0,138.75,139.3605,136.2135,136.5735,39342.0,226.91,228.9899,222.25999,223.19901,15638710.0,341.17001,346.97,340.54999,345.26001,1954452.0,179.39,181.239,178.62,181.2,4221645.0,222.78,222.87,219.4192,220.75999,3052085.0,154.41499,156.57001,153.935,156.55,3810752.0,131.58,132.56,131.02,131.61,6494125.0,357.82332,359.66667,342.56665,344.66667,5917310.0,249.34,252.92239,240.03,242.645,38860549.0,50.34,51.45,50.1661,51.35,1689626.0,133.75,133.92999,130.81,132.2142,6726049.0,298.09,300.66,294.98999,297.4075,3358374.0,52.81,53.36,52.565,53.27,14862486.0,62.77,63.26,62.31,63.19,10118190.0,169.92,172.565,169.485,172.3685,1924922.0,47.44,47.875,47.24,47.5,14989519.0,51.16,52.84,51.16,52.415,16147473.0
2022.0,4.0,6.0,13.0,171.72,173.63,170.92999,171.52,30696989.0,298.25,302.92999,296.70999,299.5,14148351.0,159.1355,160.73743,157.2545,158.75601,71623.0,136.5765,137.90175,135.517,136.478,98797.0,223.24001,225.94,221.405,223.27,10979589.0,345.20999,345.85999,343.70001,344.91,1472491.0,181.19,182.53,180.58,182.23,3834957.0,220.75999,221.39,218.62,219.00999,2770009.0,156.545,157.27,156.1201,156.83,2164455.0,131.60001,132.0,130.96001,131.53,4533032.0,344.65332,354.97998,344.29333,348.51335,3736736.0,242.61011,249.89,240.30009,243.89,28757211.0,51.34666,51.80667,51.2,51.66334,1056044.0,132.23,133.02991,131.03,132.58,3804814.0,297.32999,299.48999,295.92001,298.54001,2123018.0,53.275,53.43,53.03,53.17,10077217.0,63.195,63.2267,62.77,63.11,6564009.0,172.37,172.7,171.73,172.32001,1423179.0,47.5,48.17,47.36,47.53,11425617.0,52.415,53.09,52.2,52.87,9027026.0
2022.0,4.0,7.0,9.0,171.16,172.9505,169.85001,171.19,41551206.0,296.66,302.64001,296.35001,300.51999,16718022.0,158.4,160.01899,154.5115,156.43199,98315.0,136.01,137.1645,134.22739,135.808,34641.0,223.92999,225.39999,218.56,221.61,10870507.0,346.22,346.22,342.39999,346.07999,1590816.0,181.67,182.95,180.23,182.41,3495027.0,218.31,218.67999,213.67999,215.50999,3883066.0,157.87,159.39,156.97,158.77,3503062.0,130.95,131.69,128.73,130.3,6575325.0,350.79667,358.50667,340.51337,347.57772,5888133.0,244.41,247.0462,234.78,239.39999,33518150.0,51.7,52.4,51.48,52.35337,1636508.0,133.00999,133.21001,130.02,130.99001,5660909.0,296.79001,301.79999,293.59009,300.95999,2701084.0,52.45,52.665,52.04,52.635,10921374.0,63.13,63.43,62.711,63.36,6142095.0,172.03,173.12,170.78,172.55,1872404.0,47.425,47.79,46.77,47.155,12395645.0,52.5,55.0,52.5,54.985,20033226.0
2022.0,4.0,7.0,13.0,171.19501,173.36,170.8,172.17,24289227.0,300.5,303.64999,299.95001,301.5,9556218.0,156.4335,158.75775,155.554,157.74351,55252.0,135.75,136.935,135.4,135.815,22492.0,221.61,224.89999,220.16,222.89999,6302634.0,346.04999,347.67001,345.54001,346.67001,1509720.0,182.42999,182.53,181.49001,181.84,2352492.0,215.53,217.33,214.64999,216.25,2010638.0,158.78,159.28,158.59,158.87,1833226.0,130.32001,131.92,130.05,131.14999,4792765.0,347.66667,355.31999,344.56002,352.33667,2634930.0,239.4399,245.58,237.58,242.02,19522431.0,52.35667,52.51333,52.06,52.19,1008607.0,130.995,132.41,130.83,131.86,3454891.0,300.92999,304.59,300.28699,302.60001,1996601.0,52.6357,52.98,52.57,52.68,8546948.0,63.365,63.67,63.28,63.445,4809522.0,172.56,173.28,172.36,172.56,1412467.0,47.16,47.91,47.1,47.55,8116717.0,54.99,55.41,54.91,55.17,11376676.0
2022.0,4.0,8.0,9.0,171.78,171.78,169.2,170.82001,44110266.0,300.44,301.12,296.78,299.76999,11150302.0,156.75,157.36851,154.90699,155.804,60797.0,135.5835,135.67,133.792,134.15649,32471.0,222.38,225.13,220.09,223.75999,10580595.0,348.92999,353.35999,347.73001,353.13,2290611.0,181.33,183.187,180.435,183.0,3139743.0,214.81,219.405,213.08,218.21049,2329403.0,159.7,160.42,158.92,159.88,2650221.0,131.67,133.82001,131.49001,133.25,7300573.0,347.73665,349.47998,340.81167,344.29757,4406700.0,239.17,239.23,231.10001,232.4315,34107918.0,52.30333,52.80333,52.07464,52.55,1413192.0,132.0,133.12,130.63,132.63499,3486530.0,301.45999,311.44,301.28,310.97,3085926.0,52.73,53.68,52.5,53.5604,14724578.0,63.48,63.89,63.16,63.87,5792153.0,172.99001,173.3864,171.59,173.24001,1142015.0,47.28,47.58,46.85,47.26,9511160.0,54.85,55.38,54.46,55.325,13116294.0
2022.0,4.0,8.0,13.0,170.8201,170.97,169.78,170.14,23398822.0,299.82001,299.82001,296.32999,296.97,7637160.0,155.8225,156.266,154.23075,154.4605,40736.0,134.1285,134.287,132.9655,133.2875,19754.0,223.75999,224.49001,221.92999,222.33,5682655.0,353.14999,353.85001,352.14349,353.10001,1135665.0,183.005,183.05,181.74001,182.12,1812162.0,218.25,218.39999,216.59,216.98,1321258.0,159.8674,160.53,159.66,160.10001,1752083.0,133.255,133.89999,133.06,133.49001,3890584.0,344.37301,345.82328,341.68669,341.83,1422944.0,232.5,233.28,230.6201,231.19,15043322.0,52.55333,52.6,52.37,52.47,711745.0,132.605,132.88,131.69,131.87,1852149.0,310.97501,312.29001,310.48001,311.10999,1780834.0,53.565,53.66,53.385,53.53,6775621.0,63.87,64.04,63.7,63.83,4049900.0,173.2466,173.69,172.88,173.13,966290.0,47.255,47.28,46.96,47.02,7551332.0,55.33,55.58,55.095,55.17,6225740.0
2022.0,4.0,11.0,9.0,168.71001,169.03,166.10001,166.91,40478642.0,291.79001,292.60999,285.32001,286.9201,20230094.0,152.713,154.1365,150.9025,151.8786,80071.0,131.8235,132.04301,129.18225,129.93375,49452.0,218.42,220.61,215.2198,219.28999,12026049.0,352.98001,354.32999,349.34,352.17001,1664782.0,183.0,184.2,180.07001,180.38,2939697.0,215.25,216.48,213.41,216.09,2670426.0,159.95,161.21001,158.63,159.69,2968650.0,133.0,134.89999,132.57001,133.25999,5396896.0,326.80001,336.15603,325.33333,330.0367,4613630.0,222.14,223.1994,216.60001,219.6508,39455139.0,52.32333,52.74667,51.6408,51.71,1509557.0,130.03999,132.42999,130.03999,131.75999,4803642.0,307.81,314.17001,307.0,308.03,2302548.0,53.87,54.7,53.71,54.09,17099063.0,63.905,64.3,63.635,63.88,6139669.0,173.61,174.97,172.59,172.96001,1827159.0,46.9,47.295,46.66,47.0399,14576734.0,55.46,56.32,53.895,53.97,12505311.0
2022.0,4.0,11.0,13.0,166.91,167.25,165.5,165.78,23810842.0,286.94,287.79999,285.0,285.26001,9275377.0,151.9373,152.56725,150.5345,151.122,35304.0,129.998,130.1235,128.66851,128.8235,29298.0,219.2878,220.0,215.97,216.46001,6142866.0,352.10999,353.16,351.54999,352.01999,914184.0,180.37,180.94501,179.60001,179.84,1656494.0,216.10001,217.3,214.34,214.75,1776301.0,159.67999,160.31,159.27,159.49001,1361416.0,133.25,133.96001,132.82001,133.0,3022312.0,330.06,331.43331,324.92,325.31,1594279.0,219.59,221.42999,217.92999,219.17,15147909.0,51.70667,51.90334,51.21,51.43,810201.0,131.77,131.95,130.52,130.64999,2607888.0,308.035,308.64999,305.92999,306.72,1225046.0,54.095,54.29,53.825,53.9,9983057.0,63.885,64.115,63.76,63.81,3503651.0,172.95,173.50999,172.32001,172.60001,1017310.0,47.04,47.11,46.53,46.57,9157604.0,53.97,54.2,53.775,53.93,5527032.0
